last,#,[形][名]最後の、この前の、最後,last.mp3
meet,#,[動]会う、迎える,meet.mp3
far,#,[副]遠くに、はるかに,far.mp3
break,#,[動]こわれる、割る、こわす,break.mp3
face,#,[名]顔,face.mp3
grow,#,[動]なる、育てる、増加する,grow.mp3
light,#,[名]光、明かり、電灯,light.mp3
once,#,[副]かつて、1度、昔,once.mp3
stand,#,[動]立つ,stand.mp3
still,#,[副]まだ、今でも、それでも,still.mp3
can,#,[助]することができる、できる,can.mp3
plant,#,[名]植物、草木,plant.mp3
since,#,[接]して以来,since.mp3
work,#,[名]仕事、勉強、労働,work.mp3
around,#,[前]のまわりの、くらいに〔で〕、ころ,around.mp3
even,#,[副]さえ、でさえ、でも,even.mp3
for,#,[前]へ向かって、のための〔に〕,for.mp3
head,#,[名]先頭、頭、頭部,head.mp3
pretty,#,[形]かわいい、すてきな、きれいな,pretty.mp3
run,#,[動]走る,run.mp3
say,#,[動]言う、口に出す,say.mp3
some,#,[形]いくつかの、いくらかの、ある,some.mp3
well,#,[副コじょうずに、うまく、よく,well.mp3
will,#,[助]でしょう、だろう、するだろう,will.mp3
care,#,[名]心配、注意、世話,care.mp3
drive,#,[動]運転する、ドライブする,drive.mp3
else,#,[副]そのほかに、ほかに,else.mp3
ever,#,[副]これまでに7今まで,ever.mp3
fall,#,[名]秋、落下,fall.mp3
fly,#,[動]飛ぶ、飛んで行く、飛行機で行く,fly.mp3
keep,#,[動]留める、しまっておく、守る,keep.mp3
leave,#,[動]去る、出発する、残す,leave.mp3
may,#,[助]してもよい、かもしれない、だろう,may.mp3
name,#,[名]名前,name.mp3
need,#,[動]必要とする、要る,need.mp3
picture,#,[名]写真、絵,picture.mp3
rise,#,[動]上がる、昇る、起き上がる,rise.mp3
turn,#,[動]曲がる、向かう、回る,turn.mp3
walk,#,[動]歩く、歩いていく,walk.mp3
among,#,[前]の間で、の間に、の中に,among.mp3
back,#,[副]うしろへ戻って、もとへ,back.mp3
bad,#,[形]悪い、へたな,bad.mp3
black,#,[名]黒,black.mp3
busy,#,[形]忙しい、(場所が)にぎやかな,busy.mp3
draw,#,[動]描く、絵を描く、引く,draw.mp3
forget,#,[動]忘れる,forget.mp3
like,#,[動]好む、好きだ、気に入る,like.mp3
live,#,[動]生きる、住む、住んでいる,live.mp3
look,#,[動]見る,look.mp3
place,#,[名]場所、所、立場,place.mp3
play,#,[動](スポーツなどを)する、遊ぶ,play.mp3
ride,#,[動]乗る、乗って行く,ride.mp3
room,#,[名]部屋,room.mp3
those,#,[代]あれらは、あれらが、それらは,those.mp3
time,#,[名]時刻、時間、～回,time.mp3
warm,#,[形]温かい、暑い,warm.mp3
welcome,#,[間]ようこそ、いらっしゃい,welcome.mp3
where,#,[副]どこに、どこへ、どこで,where.mp3
across,#,[副]横に、横切って,across.mp3
all,#,[形]すべての、あらゆる,all.mp3
ball,#,[名]球、ボール、たま,ball.mp3
every,#,[形]毎～、すべての、毎(ごと)に,every.mp3
fast,#,[形]速い,fast.mp3
go,#,[動]行く,go.mp3
hard,#,[副]一生懸命、熱心に激しく,hard.mp3
just,#,[副]単に、ちょうど、ほんの,just.mp3
life,#,[名]生命、生活、人生,life.mp3
lose,#,[動]失う、なくす、負ける,lose.mp3
lost,#,[形]道に迷った、失われた、負けた,lost.mp3
much,#,[副]たいへん、おおいに、とても,much.mp3
or,#,[接]または、それとも、あるいは,or.mp3
park,#,[名]公園,park.mp3
please,#,[動]喜ばせる,please.mp3
put,#,[動]置く、入れる、のせる,put.mp3
shout,#,[動]叫ぶ、大声で言う,shout.mp3
study,#,[動]勉強する、研究する、調べる,study.mp3
sure,#,[副]確かに,sure.mp3
take,#,[動]とる、乗る、連れていく,take.mp3
then,#,[副]それでは、それから、その時,then.mp3
through,#,[前]の間から、の中から、を通って,through.mp3
very,#,[副]とても、たいへん、ひじょうに,very.mp3
when,#,[副]いつ,when.mp3
without,#,[前]なしに、なしで、がなければ,without.mp3
yet,#,[副]まだ(～ない)、もう,yet.mp3
about,#,[前]について、に関して,about.mp3
any,#,[形]いくつかの、どんな～でも,any.mp3
but,#,[接]しかし、でも、だが,but.mp3
class,#,[名]授業、クラス、学級,class.mp3
clean,#,[動]そうじする,clean.mp3
cold,#,[形]寒い、冷たい、冷えた,cold.mp3
cut,#,[動]切る、切断する、短縮する,cut.mp3
dark,#,[形]暗い、黒い,dark.mp3
dear,#,[形]親愛なる、様いとしい,dear.mp3
die,#,[動]死ぬ、なくなる,die.mp3
eat,#,[動]食べる,eat.mp3
either,#,[副][否定文で]もまた(～ない),either.mp3
eye,#,[名]目,eye.mp3
farm,#,[名]農場、農園,farm.mp3
fish,#,[名]魚、魚肉,fish.mp3
foot,#,[名](足首から下の部分の)足,foot.mp3
hand,#,[名]手,hand.mp3
introduce,#,[動]紹介する、導入する,introduce.mp3
language,#,[名]言語、言葉,language.mp3
late,#,[形][副]遅い、遅れた、遅刻した,late.mp3
later,#,[副]あとで、のちほど、その後,later.mp3
letter,#,[名]手紙、文字,letter.mp3
little,#,[形]小さい、少しの、僅かな,little.mp3
nothing,#,[代]何も～ない、何もない、何も～でない,nothing.mp3
one,#,[名]1 ,one.mp3
open,#,[動]開ける、開く,open.mp3
out,#,[副]外に〔へ〕、離れて,out.mp3
read,#,[動]読む、読んだ,read.mp3
sell,#,[動]売る,sell.mp3
ship,#,[名]船,ship.mp3
should,#,[助]すべきである、したほうがよい,should.mp3
show,#,[動]見せる、示す,show.mp3
so,#,[副]そんなに、そのように、それほど,so.mp3
spend,#,[動]過ごす、ついやす、使う,spend.mp3
spring,#,[名]春ばね、スプリング,spring.mp3
stay,#,[名][動]滞在(する),stay.mp3
that,#,[代]あれは、あれが、それは,that.mp3
train,#,[名]列車、電車,train.mp3
water,#,[名]水,water.mp3
way,#,[名]道、道のり、方法,way.mp3
white,#,[名][形]白、白色,white.mp3
yard,#,[名]庭中庭,yard.mp3
along,#,[副]沿って、前へ,along.mp3
and,#,[接]そして、と,and.mp3
another,#,[形]もう1人の、もう1つの、他の,another.mp3
arm,#,[名]腕,arm.mp3
away,#,[副]離れて、あちらへ、去って,away.mp3
